Tot No. Simulations	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	LTSM	Crack Width	C. Numbers	Max Slope	Max Tilt	Ang. Dis.	Max H. Strain	Dam. Area (%)	Strain (100%)	Strain (99%)	Strain (98%)	Strain (97%)	Strain (96%)	Strain (95%)	Local Avg.	Global Avg.
489	5176.129	0.569	0.020	19.851	24.692	23.642	10.328	23.039	0.188	3.935	0.345	4.614	9.840	5.589	10.930	0.01014	0.00	0	0.00531	0.00529	2.50E-05	1.20E-05	0	0.000037	0.000024	0.000022	0.000022	0.000021	0.000021	0	2.66E-03
490	2067.288	0.424	0.018	5.729	58.976	14.123	25.271	197.558	0.389	14.508	0.047	2.796	45.224	12.141	3.558	0.00234	7.33	11	0.00334	0.00312	0.001525	0.001373	3.22	0.038345	0.004792	0.001319	0.000233	0.000105	0.000092	9.164	2.34E-03
491	7164.551	0.773	0.016	7.836	46.431	0.801	16.138	224.195	0.326	20.147	0.443	2.369	63.113	13.254	22.861	0.00124	7.05	3	0.00169	0.00168	0.000283	0.001238	0.41	0.040106	0.000053	0.000047	0.000043	0.00004	0.000037	5.0229	1.22E-03
492	6022.640	0.850	0.024	12.631	50.951	24.610	19.667	124.664	0.472	15.425	0.069	3.645	32.609	9.651	18.944	0.00231	0.00	0	0.00197	0.00173	0.000242	9.80E-05	1.09	0.002548	0.000167	0.000085	0.000076	0.00007	0.000065	0	1.01E-03
493	3704.302	0.383	0.009	4.277	32.945	2.613	14.673	149.451	0.395	15.271	0.138	2.327	50.799	9.771	6.064	0.00093	2.29	3	0.00164	0.00159	0.000215	0.00087	1.18	0.013037	0.002137	0.000061	0.000053	0.000048	0.000044	2.64725	1.08E-03
494	2019.619	0.215	0.010	6.107	52.073	4.176	18.938	247.237	0.134	20.262	0.089	3.709	57.851	9.311	4.222	0.00095	3.24	3	0.00141	0.00135	0.000409	0.000556	1.51	0.016275	0.000425	0.000063	0.000055	0.000049	0.000045	3.1191	9.33E-04
495	5446.788	0.889	0.028	5.187	28.291	14.459	33.842	68.095	0.165	18.612	0.016	1.643	38.442	13.147	13.776	0.00006	0.00	0	0.00104	0.00101	4.40E-05	4.70E-05	0	0.000048	0.000043	0.000041	0.000039	0.000037	0.000036	0	5.36E-04
496	1567.980	0.245	0.008	10.490	34.962	18.447	20.457	106.856	0.323	9.515	0.385	2.957	27.425	8.652	2.381	0.00144	9.36	3	0.00314	0.00300	0.000409	0.002113	3	0.052103	0.005242	0.001293	0.000101	0.000067	0.000061	6.181	2.16E-03
497	2163.461	0.315	0.012	16.664	26.774	9.139	29.186	109.805	0.322	31.469	0.108	4.776	75.918	11.220	3.377	0.00030	0.00	0	0.00110	0.00112	2.20E-05	2.90E-05	0	0.000068	0.000042	0.000039	0.000038	0.000037	0.000036	0	5.67E-04
498	4810.682	0.631	0.017	4.898	50.799	18.881	15.227	57.325	0.253	28.232	0.357	4.231	48.369	12.000	15.979	0.00120	2.22	3	0.00143	0.00142	0.000293	0.000609	0.81	0.013848	0.00007	0.000061	0.000055	0.000051	0.000048	2.61185	9.37E-04
499	4841.727	0.504	0.023	12.292	32.904	13.109	8.175	187.089	0.242	16.533	0.142	3.351	30.677	10.534	14.044	0.00252	2.85	2	0.00156	0.00153	0.000124	0.000705	0.73	0.015686	0.00005	0.000042	0.000038	0.000035	0.000033	2.4239	9.79E-04
500	7985.611	0.833	0.020	6.862	27.982	3.127	11.140	200.640	0.410	26.645	0.063	1.291	76.888	11.773	21.414	0.00027	0.00	0	0.00035	0.00034	2.00E-05	2.80E-05	0	0.000038	0.000027	0.000022	0.00002	0.000018	0.000017	0	1.84E-04
501	4163.038	0.482	0.019	9.616	26.161	9.876	18.504	58.031	0.117	25.691	0.035	2.977	85.610	7.187	9.445	0.00017	0.00	0	0.00039	0.00039	1.00E-05	9.00E-06	0	0.000022	0.000013	0.000012	0.000011	0.000011	0.00001	0	2.00E-04
502	3492.805	0.372	0.016	3.962	46.466	29.322	12.813	244.278	0.378	9.925	0.298	3.942	27.197	7.724	9.744	0.00315	8.78	17	0.00406	0.00371	0.002203	0.0022	8.82	0.040652	0.010972	0.005355	0.002961	0.001887	0.001262	12.88815	3.04E-03
503	5310.635	0.635	0.015	15.325	41.879	8.883	24.955	167.121	0.329	11.531	0.049	1.897	33.117	13.893	10.133	0.00160	4.87	2	0.00268	0.00257	0.000231	0.001308	2.07	0.026772	0.002408	0.000095	0.000052	0.000048	0.000045	3.4359	1.70E-03
504	3033.246	0.363	0.010	3.725	23.439	15.486	21.073	123.515	0.264	25.679	0.134	2.585	55.670	13.420	4.772	0.00052	0.00	0	0.00132	0.00131	3.60E-05	2.80E-05	0	0.00003	0.000026	0.000024	0.000023	0.000022	0.00002	0	6.73E-04
505	3270.814	0.625	0.027	4.601	52.173	8.670	15.791	226.166	0.454	20.267	0.139	3.081	80.604	7.833	10.457	0.00044	0.00	0	0.00086	0.00081	0.000322	0.000119	0	0.000119	0.000105	0.000096	0.000088	0.000082	0.000076	0	5.27E-04
506	4045.562	0.566	0.022	9.049	46.705	14.943	6.803	248.082	0.284	8.780	0.220	1.811	19.726	7.511	11.470	0.00227	7.79	7	0.00135	0.00124	0.000427	0.001531	2.01	0.050054	0.002309	0.00009	0.000059	0.000053	0.000049	7.3937	1.14E-03
507	2427.848	0.466	0.016	15.488	32.146	4.976	19.399	216.133	0.394	8.140	0.105	4.311	21.624	9.481	4.190	0.00325	22.02	2	0.00541	0.00521	0.000509	0.005056	3.59	0.109985	0.010529	0.003189	0.000465	0.00009	0.000078	12.00895	4.04E-03
508	3945.025	0.415	0.008	3.550	20.638	13.134	17.909	138.469	0.366	12.521	0.203	1.751	24.623	12.761	8.468	0.00086	1.24	4	0.00323	0.00320	0.000286	0.000819	3.77	0.007148	0.003126	0.001237	0.000469	0.00011	0.00005	2.61955	1.88E-03
509	3975.664	0.505	0.025	14.330	56.046	0.587	38.319	167.077	0.367	8.385	0.085	1.975	30.622	13.444	12.959	0.00155	23.26	3	0.00143	0.00130	0.000311	0.003345	0.38	0.132567	0.000066	0.000058	0.000054	0.000051	0.000048	13.12955	1.60E-03
510	3887.916	0.436	0.015	6.077	59.769	15.607	14.064	88.945	0.386	12.875	0.393	2.704	33.733	7.726	10.866	0.00140	4.88	9	0.00140	0.00131	0.000784	0.000781	2.69	0.025353	0.002473	0.000447	0.000064	0.000054	0.000049	6.9382	1.07E-03
511	5689.746	0.761	0.024	5.216	21.226	7.262	16.168	239.192	0.125	23.194	0.399	2.290	66.707	15.235	17.157	0.00073	0.00	0	0.00168	0.00166	3.40E-05	4.00E-05	0	0.00004	0.000036	0.000033	0.000031	0.000029	0.000028	0	8.52E-04
512	4521.173	0.624	0.016	15.218	57.396	12.578	6.251	233.811	0.248	14.405	0.068	2.002	38.534	7.235	10.870	0.00080	3.81	2	0.00060	0.00056	0.000154	0.000568	0.81	0.021299	0.000062	0.000052	0.000047	0.000044	0.000041	2.9066	4.70E-04
513	5157.379	0.534	0.020	16.824	42.956	19.769	35.745	239.502	0.242	25.826	0.310	4.309	75.803	16.466	8.884	0.00064	0.00	0	0.00285	0.00277	8.50E-05	5.90E-05	0	0.00006	0.000052	0.000048	0.000045	0.000042	0.000038	0	1.44E-03
514	2848.345	0.367	0.010	13.445	33.059	1.795	29.933	148.370	0.177	24.573	0.451	2.652	64.265	14.344	8.710	0.00038	0.00	0	0.00156	0.00154	1.80E-05	1.80E-05	0	0.000018	0.000017	0.000016	0.000015	0.000015	0.000015	0	7.84E-04
515	8779.149	0.909	0.025	3.830	46.520	22.465	30.975	239.172	0.383	15.681	0.356	4.508	44.763	10.655	13.064	0.00099	9.81	7	0.00375	0.00371	0.000894	0.001665	3.99	0.052527	0.004365	0.001795	0.000657	0.000131	0.000077	8.40615	2.50E-03
516	5228.913	0.636	0.015	4.583	20.383	18.859	17.098	94.871	0.343	23.488	0.173	1.148	67.880	10.605	11.803	0.00016	0.00	0	0.00041	0.00041	5.00E-06	7.00E-06	0	0.000009	0.000007	0.000007	0.000006	0.000006	0.000006	0	2.06E-04
517	3700.342	0.589	0.020	5.015	42.077	27.357	38.009	96.069	0.464	21.647	0.204	1.423	86.038	14.720	6.186	0.00008	0.00	0	0.00123	0.00115	0.000133	9.50E-05	0	0.000093	0.000089	0.000084	0.000079	0.000076	0.000074	0	6.50E-04
518	3933.647	0.442	0.021	9.674	48.331	27.024	10.188	61.798	0.133	10.528	0.038	1.683	40.613	11.403	11.975	0.00269	6.18	1	0.00179	0.00175	0.000332	0.001059	1.33	0.035199	0.000386	0.000071	0.00006	0.000053	0.000048	3.5911	1.23E-03
519	8407.266	0.910	0.018	4.921	38.399	5.510	19.365	81.218	0.285	13.729	0.232	4.274	41.704	12.344	21.964	0.00332	6.48	3	0.00515	0.00511	0.00061	0.001378	1.35	0.036007	0.00114	0.000077	0.000064	0.000056	0.000051	4.74185	3.06E-03
520	8883.636	1.154	0.029	4.592	54.243	21.835	15.975	233.737	0.398	10.374	0.390	4.464	26.294	7.903	15.484	0.00369	12.82	9	0.00390	0.00311	0.002082	0.002073	7.52	0.054562	0.008561	0.004494	0.002751	0.001804	0.001095	10.9084	2.79E-03
521	2801.746	0.399	0.014	8.172	34.175	10.946	9.511	105.358	0.332	13.914	0.295	1.950	41.401	15.533	4.454	0.00345	6.27	6	0.00370	0.00365	0.000393	0.001457	2.77	0.033275	0.004755	0.000806	0.000073	0.000059	0.000054	6.13465	2.30E-03
522	5128.612	0.749	0.023	10.346	22.703	5.741	23.980	234.105	0.434	14.821	0.194	4.722	26.339	10.324	14.069	0.00042	0.00	0	0.00330	0.00320	0.000106	6.60E-05	0.05	0.000614	0.000062	0.000059	0.000058	0.000054	0.000051	0	1.67E-03
523	4031.549	0.463	0.010	6.320	22.461	2.340	25.569	74.813	0.146	32.132	0.161	2.179	88.974	13.166	12.067	0.00019	0.00	0	0.00066	0.00066	1.00E-06	6.00E-06	0	0.000007	0.000006	0.000006	0.000006	0.000006	0.000006	0	3.31E-04
524	4002.109	0.417	0.009	14.871	41.551	1.046	12.459	112.393	0.263	14.439	0.179	4.260	52.691	8.420	12.846	0.00184	0.00	0	0.00178	0.00176	4.50E-05	7.50E-05	0	0.000075	0.000067	0.000062	0.000058	0.000055	0.000052	0	9.15E-04
525	1115.617	0.133	0.005	11.032	52.164	23.203	27.166	69.818	0.452	11.777	0.345	3.292	23.922	10.852	2.637	0.00310	11.25	8	0.00440	0.00427	0.000738	0.003108	6.77	0.06679	0.012694	0.006113	0.002934	0.001617	0.000683	9.6262	3.13E-03
526	3674.904	0.464	0.017	9.721	37.604	10.789	33.573	222.285	0.308	25.316	0.335	1.533	45.931	17.208	9.180	0.00038	0.00	0	0.00126	0.00123	5.00E-05	6.40E-05	0	0.000078	0.000059	0.000055	0.000053	0.00005	0.000046	0	6.49E-04
527	8162.154	1.007	0.028	14.028	24.306	26.008	39.344	68.531	0.376	15.974	0.011	1.293	47.482	15.023	19.618	0.00017	0.00	0	0.00053	0.00052	1.30E-05	5.00E-06	0	0.000017	0.000011	0.000011	0.00001	0.00001	0.00001	0	2.66E-04
528	6373.859	0.950	0.026	15.072	57.542	7.724	6.429	162.214	0.275	24.097	0.162	2.592	89.062	13.502	13.824	0.00108	4.15	4	0.00089	0.00085	0.000148	0.000613	1.36	0.027724	0.000661	0.000049	0.000041	0.000037	0.000034	4.07485	6.27E-04
529	5575.091	0.702	0.023	4.478	59.579	15.566	7.487	220.093	0.227	22.413	0.089	4.639	42.397	8.442	18.177	0.00090	1.76	7	0.00120	0.00118	0.000502	0.0005	2.19	0.009856	0.001431	0.000185	0.000051	0.000044	0.00004	4.38175	8.47E-04
530	2219.243	0.243	0.009	14.730	27.310	24.851	11.439	119.653	0.415	14.089	0.137	2.572	25.897	8.372	6.272	0.00137	0.00	0	0.00135	0.00131	4.30E-05	3.40E-05	0	0.000084	0.00005	0.000046	0.000044	0.000042	0.000041	0	6.85E-04
531	6462.434	0.885	0.025	5.191	22.847	25.973	7.514	78.496	0.105	14.646	0.134	2.651	34.118	8.201	20.346	0.00116	0.00	0	0.00111	0.00106	5.40E-05	3.00E-05	0	0.000047	0.000028	0.000025	0.000023	0.000021	0.00002	0	5.63E-04
532	2679.206	0.550	0.027	5.799	39.055	1.273	16.254	57.419	0.254	23.741	0.100	3.502	84.460	8.825	5.869	0.00044	0.00	0	0.00087	0.00086	6.30E-05	6.20E-05	0	0.000061	0.000056	0.000052	0.000049	0.000047	0.000044	0	4.63E-04
533	6718.190	0.839	0.024	12.410	38.022	20.076	17.474	193.740	0.371	27.055	0.463	1.607	76.119	7.426	9.978	0.00013	0.00	0	0.00019	0.00019	6.00E-06	1.10E-05	0	0.000019	0.000014	0.000013	0.000012	0.000012	0.000011	0	9.93E-05
534	6430.678	0.765	0.027	6.261	45.175	25.545	44.167	141.376	0.391	31.227	0.330	2.116	51.118	17.139	20.726	0.00027	0.00	0	0.00119	0.00115	7.70E-05	5.50E-05	0	0.000055	0.00005	0.000047	0.000045	0.000043	0.000041	0	6.19E-04
535	7409.999	1.032	0.026	11.861	47.408	4.958	14.221	198.046	0.296	16.512	0.035	2.628	29.526	11.967	24.408	0.00267	2.81	3	0.00188	0.00187	9.90E-05	0.000503	1.07	0.018593	0.000142	0.000049	0.000045	0.000041	0.000037	2.90595	1.09E-03
536	1473.141	0.263	0.012	16.048	51.863	20.011	5.551	95.372	0.478	20.852	0.012	2.843	62.348	9.685	2.833	0.00092	8.37	2	0.00111	0.00101	0.000408	0.001366	1.41	0.061528	0.001206	0.00011	0.0001	0.000095	0.000091	5.187	9.73E-04
537	3335.181	0.363	0.013	5.950	47.841	1.368	18.939	181.518	0.130	17.590	0.036	1.274	70.118	8.424	10.588	0.00029	0.00	0	0.00047	0.00045	9.60E-05	4.90E-05	0	0.000049	0.000043	0.00004	0.000038	0.000036	0.000035	0	2.68E-04
538	5565.180	0.736	0.026	8.217	28.866	17.419	30.504	124.385	0.165	14.727	0.370	1.221	34.417	16.579	12.203	0.00041	0.00	0	0.00147	0.00141	6.90E-05	7.10E-05	0	0.000073	0.000064	0.00006	0.000057	0.000054	0.000052	0	7.54E-04
539	4229.682	0.678	0.030	7.480	54.081	12.022	38.066	70.098	0.367	23.121	0.097	1.139	40.973	13.383	10.130	0.00028	0.00	0	0.00068	0.00066	6.50E-05	6.40E-05	0	0.000067	0.000058	0.000054	0.000052	0.00005	0.000048	0	3.67E-04
540	3060.658	0.519	0.021	12.333	31.694	27.878	28.390	208.147	0.152	29.970	0.128	2.453	77.844	10.716	4.495	0.00018	0.00	0	0.00056	0.00057	6.00E-06	1.30E-05	0	0.000042	0.000027	0.000026	0.000025	0.000024	0.000024	0	2.88E-04
541	4113.682	0.458	0.022	16.721	28.112	3.313	22.682	94.777	0.382	30.015	0.359	4.739	62.339	12.631	12.939	0.00073	0.00	0	0.00143	0.00144	7.00E-06	1.90E-05	0	0.000041	0.000021	0.000019	0.000019	0.000018	0.000018	0	7.24E-04
542	6198.250	0.685	0.027	16.002	40.760	7.560	18.716	72.833	0.282	19.166	0.226	2.145	40.546	14.607	14.761	0.00164	0.00	0	0.00188	0.00188	4.00E-06	1.50E-05	0	0.000028	0.000016	0.000014	0.000014	0.000013	0.000012	0	9.46E-04
543	4537.126	0.736	0.022	13.797	52.411	16.520	11.138	94.902	0.419	20.070	0.278	2.190	32.661	14.312	6.652	0.00231	6.42	3	0.00164	0.00158	0.000307	0.001019	1.24	0.034752	0.00074	0.000066	0.000058	0.000053	0.00005	4.70975	1.14E-03
544	5399.529	0.736	0.029	10.371	50.422	26.366	13.249	125.783	0.132	20.530	0.026	3.509	35.174	13.277	8.005	0.00284	7.24	1	0.00227	0.00220	0.000386	0.001166	1.64	0.041078	0.000804	0.000083	0.00007	0.000061	0.000054	4.11885	1.50E-03
545	6518.314	0.685	0.018	16.858	20.697	1.713	30.584	183.227	0.423	19.085	0.385	1.175	74.792	13.546	20.818	0.00007	0.00	0	0.00082	0.00082	7.00E-06	9.00E-06	0	0.00001	0.000009	0.000009	0.000009	0.000009	0.000009	0	4.13E-04
546	7607.492	0.837	0.023	3.595	47.636	22.328	8.246	100.957	0.108	20.570	0.192	4.587	57.141	10.348	23.487	0.00125	2.82	7	0.00214	0.00213	0.000412	0.000823	3.27	0.021768	0.002363	0.000865	0.000201	0.00005	0.000045	4.91065	1.38E-03
547	3210.692	0.455	0.013	16.166	30.290	22.255	31.955	115.704	0.146	26.661	0.067	1.536	66.999	12.282	8.773	0.00011	0.00	0	0.00058	0.00058	2.00E-05	1.60E-05	0	0.000048	0.000031	0.000029	0.000027	0.000027	0.000026	0	2.98E-04
548	2584.691	0.391	0.015	15.748	52.350	13.066	12.008	162.626	0.411	5.704	0.457	2.443	16.456	9.608	4.665	0.00825	17.40	11	0.00260	0.00241	0.000817	0.003541	5.73	0.095875	0.010782	0.004691	0.002137	0.000905	0.000282	14.19915	2.34E-03
549	4180.748	0.586	0.015	14.341	21.894	29.610	19.960	199.019	0.166	15.061	0.358	2.046	55.481	9.008	8.531	0.00019	0.00	0	0.00119	0.00118	2.00E-05	1.00E-05	0	0.000036	0.000024	0.000022	0.000022	0.000021	0.000021	0	6.00E-04
550	3705.053	0.565	0.020	10.982	29.956	28.524	25.514	133.459	0.274	27.977	0.182	4.124	53.721	15.239	5.615	0.00100	0.00	0	0.00219	0.00219	9.00E-06	1.40E-05	0	0.000035	0.000021	0.00002	0.000019	0.000018	0.000018	0	1.10E-03
551	5142.678	0.549	0.027	10.048	22.127	25.737	16.434	233.990	0.381	30.494	0.346	3.801	86.449	10.639	8.473	0.00042	0.00	0	0.00066	0.00065	1.50E-05	1.10E-05	0	0.000025	0.000014	0.000013	0.000013	0.000012	0.000012	0	3.35E-04
552	3573.530	0.376	0.019	7.968	29.642	1.681	7.907	121.911	0.239	21.659	0.232	4.905	71.815	7.325	8.802	0.00064	0.00	0	0.00068	0.00065	4.10E-05	6.10E-05	0	0.00006	0.000055	0.000051	0.000048	0.000045	0.000043	0	3.58E-04
553	8557.888	0.921	0.021	5.112	43.550	18.559	25.261	86.505	0.239	29.694	0.003	4.912	59.934	16.641	15.218	0.00165	0.00	0	0.00276	0.00275	0.000125	7.70E-05	0	0.000098	0.000069	0.000062	0.000058	0.000054	0.00005	0	1.43E-03
554	5052.436	0.527	0.019	5.019	59.745	28.201	32.934	193.790	0.146	23.243	0.347	4.556	60.252	13.889	15.818	0.00146	5.35	3	0.00290	0.00262	0.000671	0.000744	3.19	0.029234	0.001854	0.000694	0.000154	0.000075	0.000064	4.17505	1.73E-03
555	1978.622	0.490	0.024	10.248	21.674	1.872	24.600	94.676	0.467	18.607	0.195	4.016	39.587	9.102	5.863	0.00026	0.00	0	0.00163	0.00159	4.30E-05	3.10E-05	0	0.000032	0.000028	0.000027	0.000025	0.000024	0.000023	0	8.24E-04
556	7798.941	0.966	0.030	8.706	54.417	28.373	36.307	216.810	0.356	26.167	0.239	4.966	46.214	14.040	23.420	0.00132	0.00	2	0.00251	0.00243	0.000152	0.000119	1.08	0.005388	0.000245	0.000109	0.000101	0.000095	0.000089	1.00005	1.30E-03
557	7051.199	0.727	0.014	16.045	47.742	25.200	7.116	174.463	0.127	5.851	0.401	1.809	17.114	8.042	10.292	0.00405	2.66	2	0.00098	0.00091	0.000179	0.000878	1.93	0.023473	0.001007	0.00011	0.000039	0.000035	0.000033	2.33055	7.37E-04
558	4177.136	0.507	0.021	9.571	20.338	22.970	14.772	86.697	0.329	10.862	0.032	3.757	18.833	11.669	6.429	0.00339	0.00	0	0.00660	0.00655	5.40E-05	2.50E-05	0	0.000026	0.000021	0.000019	0.000018	0.000017	0.000016	0	3.31E-03
559	4989.027	0.737	0.022	5.892	52.844	14.115	7.615	185.416	0.319	20.336	0.362	3.612	79.926	11.472	10.732	0.00115	5.21	6	0.00210	0.00208	0.000696	0.000823	2.03	0.029695	0.00144	0.000106	0.00005	0.000044	0.000041	5.60615	1.42E-03
560	2890.873	0.639	0.027	9.593	58.041	18.463	6.036	174.726	0.466	28.821	0.029	1.954	83.018	7.291	4.445	0.00016	0.00	0	0.00023	0.00023	5.00E-05	5.80E-05	0	0.000083	0.000056	0.000051	0.000047	0.000044	0.000041	0	1.42E-04
561	5075.854	0.803	0.024	3.939	24.240	29.057	33.834	74.768	0.390	9.210	0.234	1.616	24.475	12.387	14.191	0.00003	0.00	0	0.00029	0.00023	6.10E-05	3.30E-05	0	0.000042	0.000031	0.000028	0.000027	0.000025	0.000024	0	1.54E-04
562	6114.094	0.720	0.030	9.072	32.031	4.372	6.730	120.938	0.490	24.660	0.341	3.730	63.572	17.380	20.031	0.00262	10.37	7	0.00279	0.00274	0.000587	0.003537	4.05	0.033243	0.006932	0.002474	0.000773	0.000071	0.000052	8.6853	2.41E-03
563	5950.854	0.641	0.030	3.893	51.472	26.615	29.961	102.267	0.310	18.988	0.026	3.119	35.914	16.637	11.586	0.00246	7.72	4	0.00422	0.00396	0.000883	0.001214	3.85	0.0413	0.002139	0.001133	0.000424	0.000115	0.000069	5.8591	2.57E-03
564	4590.318	0.508	0.011	11.302	40.818	29.232	20.142	143.692	0.203	23.125	0.052	2.428	39.846	15.724	12.846	0.00166	0.00	0	0.00185	0.00181	5.70E-05	4.40E-05	0	0.000048	0.00004	0.000038	0.000035	0.000033	0.000031	0	9.40E-04
565	7040.755	0.834	0.029	15.083	59.799	19.064	12.796	71.790	0.435	20.117	0.228	1.102	34.396	7.776	14.558	0.00033	0.00	0	0.00022	0.00022	2.10E-05	3.30E-05	0	0.000048	0.000031	0.000028	0.000027	0.000025	0.000023	0	1.23E-04
566	2156.671	0.327	0.011	14.350	56.502	21.938	28.399	206.710	0.331	24.148	0.022	4.924	53.477	9.870	6.699	0.00099	0.00	0	0.00132	0.00123	9.50E-05	6.40E-05	0	0.000084	0.000057	0.000053	0.00005	0.000048	0.000046	0	6.78E-04
567	7342.286	0.755	0.026	4.894	38.265	4.942	9.370	235.660	0.276	12.387	0.336	2.857	19.685	12.699	20.222	0.00581	6.99	6	0.00463	0.00457	0.001459	0.003325	4.54	0.037676	0.007082	0.003396	0.001141	0.000281	0.000058	6.4927	3.50E-03
568	5100.565	0.704	0.025	5.946	50.845	9.191	10.295	64.137	0.251	25.695	0.035	1.104	49.081	13.570	12.483	0.00048	0.00	0	0.00054	0.00053	8.70E-05	6.30E-05	0	0.000095	0.000058	0.000053	0.000049	0.000044	0.00004	0	3.06E-04
569	4496.888	0.706	0.029	7.691	31.613	3.133	23.657	124.009	0.472	24.303	0.019	4.184	83.302	15.993	9.493	0.00105	0.00	0	0.00324	0.00319	4.90E-05	5.70E-05	0	0.000073	0.000048	0.000043	0.000038	0.000034	0.000031	0	1.63E-03
570	5946.225	0.777	0.025	12.296	49.408	3.797	18.713	105.216	0.204	29.302	0.415	2.944	63.035	16.348	9.456	0.00133	0.00	0	0.00140	0.00139	4.90E-05	6.90E-05	0	0.000095	0.000063	0.00006	0.000056	0.000054	0.000051	0	7.27E-04
571	7057.638	0.716	0.017	13.861	44.166	11.471	19.317	60.524	0.348	28.513	0.125	2.110	67.159	11.981	10.642	0.00048	0.00	0	0.00055	0.00056	6.00E-06	1.50E-05	0	0.000027	0.000016	0.000014	0.000013	0.000013	0.000012	0	2.83E-04
572	6589.067	0.821	0.027	10.976	53.881	25.246	7.314	76.440	0.361	25.544	0.335	3.883	45.400	7.292	11.800	0.00058	0.00	0	0.00040	0.00034	7.90E-05	5.40E-05	0	0.000063	0.000051	0.000048	0.000044	0.000042	0.000038	0	2.19E-04
573	3649.992	0.494	0.014	14.845	25.188	23.851	30.150	224.414	0.222	31.833	0.086	1.884	60.266	10.404	7.142	0.00011	0.00	0	0.00037	0.00038	1.50E-05	1.40E-05	0	0.000039	0.000026	0.000024	0.000023	0.000022	0.000022	0	1.95E-04
574	6668.410	0.725	0.016	6.902	59.272	13.067	14.025	102.653	0.347	22.316	0.371	2.455	74.383	10.924	9.746	0.00068	2.91	3	0.00101	0.00100	0.000177	0.000415	0.57	0.015718	0.000045	0.000039	0.000035	0.000031	0.000029	2.95425	6.48E-04
575	2602.295	0.374	0.017	6.954	35.409	4.897	22.153	187.439	0.338	22.484	0.085	1.918	68.372	14.906	4.173	0.00065	0.00	0	0.00149	0.00146	4.60E-05	5.70E-05	0	0.000075	0.00005	0.000044	0.000039	0.000036	0.000033	0	7.61E-04
576	2324.474	0.549	0.023	8.356	39.988	25.192	22.437	172.411	0.347	14.478	0.210	1.277	45.782	8.194	5.875	0.00031	0.00	0	0.00067	0.00061	8.30E-05	6.40E-05	0	0.000063	0.000057	0.000053	0.00005	0.000047	0.000045	0	3.56E-04
577	3963.552	0.563	0.024	10.871	23.254	10.704	40.499	83.140	0.147	21.670	0.092	1.877	71.844	15.015	8.342	0.00010	0.00	0	0.00100	0.00099	1.90E-05	8.00E-06	0	0.000022	0.000014	0.000013	0.000012	0.000012	0.000012	0	5.04E-04
578	5262.641	0.616	0.030	4.941	21.862	4.344	23.357	158.595	0.419	15.434	0.395	1.253	61.321	16.759	9.124	0.00025	2.35	1	0.00248	0.00245	0.000163	0.000847	1.92	0.013449	0.001416	0.000082	0.000038	0.000032	0.000029	1.6726	1.48E-03
579	6472.516	0.824	0.023	4.401	41.577	0.430	34.794	182.420	0.266	19.938	0.191	4.653	43.785	13.532	18.472	0.00067	9.04	9	0.00390	0.00389	0.000433	0.001758	1.8	0.051466	0.034521	0.000047	0.000035	0.000031	0.000027	9.01795	2.50E-03
580	7963.152	0.935	0.026	8.529	34.705	25.323	20.927	60.231	0.354	24.532	0.351	2.824	81.346	17.247	11.401	0.00109	0.00	0	0.00236	0.00233	3.00E-05	1.90E-05	0	0.000027	0.000019	0.000016	0.000014	0.000013	0.000012	0	1.18E-03
581	2363.885	0.264	0.009	16.530	25.890	6.536	20.649	136.998	0.295	15.129	0.431	1.326	26.655	15.618	4.186	0.00087	0.00	0	0.00218	0.00216	3.40E-05	2.50E-05	0	0.000056	0.000032	0.00003	0.000028	0.000027	0.000026	0	1.10E-03
582	6282.172	0.869	0.022	13.763	21.010	15.633	8.224	166.037	0.483	30.825	0.005	2.513	68.862	15.454	10.746	0.00095	0.00	0	0.00049	0.00046	2.60E-05	1.70E-05	0	0.00003	0.000018	0.000016	0.000015	0.000015	0.000014	0	2.49E-04
583	5100.626	0.772	0.027	7.141	41.661	5.939	35.478	197.913	0.253	16.503	0.405	1.201	45.411	14.148	12.090	0.00023	2.86	4	0.00127	0.00123	0.00022	0.000543	1.37	0.014588	0.000706	0.000069	0.000065	0.000058	0.000052	3.4314	8.15E-04
584	8761.571	1.011	0.021	10.299	59.907	7.596	38.362	119.862	0.122	16.341	0.150	2.824	44.319	16.582	27.605	0.00125	8.47	6	0.00345	0.00334	0.000388	0.00166	3.41	0.047238	0.003972	0.00096	0.000142	0.000059	0.000051	7.2343	2.21E-03
585	6467.047	0.720	0.027	4.693	42.256	28.660	7.208	108.581	0.377	23.499	0.026	2.669	82.014	12.196	18.069	0.00071	2.64	2	0.00130	0.00122	0.000251	0.000583	3.03	0.014407	0.001776	0.000774	0.000173	0.000058	0.000049	2.3218	8.40E-04
586	5493.337	0.619	0.030	4.468	33.512	21.328	26.979	173.419	0.126	24.072	0.160	3.041	43.466	12.125	10.069	0.00061	0.00	0	0.00139	0.00136	4.40E-05	3.50E-05	0	0.000034	0.000031	0.000028	0.000026	0.000024	0.000023	0	7.06E-04
587	3343.645	0.619	0.028	16.420	31.745	24.317	43.140	115.327	0.450	13.189	0.222	2.037	35.197	14.383	7.304	0.00026	0.00	0	0.00035	0.00029	6.90E-05	2.20E-05	0	0.000039	0.000029	0.000027	0.000026	0.000026	0.000025	0	1.83E-04
