Tot No. Simulations	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	LTSM	Crack Width	C. Numbers	Max Slope	Max Tilt	Ang. Dis.	Max H. Strain	Dam. Area (%)	Strain (100%)	Strain (99%)	Strain (98%)	Strain (97%)	Strain (96%)	Strain (95%)	Local Avg.	Global Avg.
252	6254.765	0.707	0.020	9.311	41.369	10.693	1.268	134.862	0.449	28.911	0.600	0.359	53.689	15.794	16.718	0.00020	0.00	0	0.00009	0.00008	2.20E-05	3.20E-05	0	0.000049	0.000029	0.000026	0.000024	0.000023	0.000021	0	5.60E-05
253	5082.114	0.616	0.015	11.558	20.865	10.392	3.396	143.488	0.258	34.907	0.138	4.477	67.408	8.466	7.751	0.00049	0.00	0	0.00007	0.00006	7.00E-06	1.00E-05	0	0.000021	0.000013	0.000012	0.000011	0.000011	0.00001	0	3.65E-05
254	5488.884	0.686	0.025	5.835	32.332	1.962	15.954	78.087	0.180	11.487	0.211	1.660	23.661	8.354	8.786	0.00116	0.00	0	0.00124	0.00124	4.30E-05	4.90E-05	0	0.000049	0.000045	0.000042	0.00004	0.000037	0.000036	0	6.42E-04
255	2273.432	0.529	0.026	16.933	39.622	19.752	8.009	62.725	0.361	11.824	0.486	2.765	20.390	8.956	4.910	0.00302	0.00	0	0.00156	0.00146	0.000117	9.80E-05	0	0.000134	0.000093	0.000084	0.000079	0.000074	0.00007	0	8.07E-04
256	8389.701	1.133	0.030	16.705	52.172	4.444	15.882	137.863	0.489	12.177	0.005	2.186	27.456	7.001	21.401	0.00119	2.55	1	0.00078	0.00071	6.70E-05	0.000402	0.39	0.016583	0.000045	0.000041	0.000037	0.000034	0.000032	1.77585	4.89E-04
257	3935.594	0.414	0.009	17.169	54.014	7.164	13.887	147.516	0.245	21.869	0.544	4.064	57.539	5.472	12.555	0.00039	0.00	0	0.00035	0.00035	1.80E-05	4.30E-05	0	0.000073	0.000042	0.000039	0.000035	0.000033	0.000031	0	1.90E-04
258	4032.634	0.452	0.015	13.878	29.568	2.972	22.755	239.461	0.165	12.392	0.304	4.742	40.411	11.063	11.969	0.00185	5.26	1	0.00429	0.00419	0.000167	0.001398	1.26	0.027565	0.000478	0.00004	0.000036	0.000033	0.000032	3.13125	2.51E-03
259	1104.779	0.245	0.010	3.943	32.199	27.604	20.673	19.923	0.412	25.718	0.292	4.339	71.499	9.470	3.649	0.00045	0.00	0	0.00109	0.00108	5.40E-05	3.60E-05	0	0.000039	0.000035	0.000034	0.000032	0.000031	0.00003	0	5.66E-04
260	4218.958	0.447	0.021	5.157	44.046	13.630	19.321	188.901	0.288	17.518	0.568	4.510	45.968	10.860	7.128	0.00203	3.62	3	0.00289	0.00282	0.000554	0.000669	2.62	0.018812	0.00355	0.000609	0.000075	0.000061	0.000055	3.3093	1.74E-03
261	2946.143	0.338	0.012	11.957	47.237	10.322	15.047	59.544	0.235	19.338	0.122	4.186	39.500	14.015	5.576	0.00375	4.87	3	0.00315	0.00313	0.000231	0.000873	1.13	0.026334	0.000157	0.000052	0.000046	0.000043	0.00004	3.934	1.85E-03
262	5170.594	0.518	0.017	11.356	45.729	12.252	20.274	216.687	0.236	18.039	0.562	4.353	43.437	9.946	10.105	0.00172	0.00	0	0.00193	0.00188	5.10E-05	4.40E-05	0	0.000053	0.000038	0.000035	0.000033	0.000031	0.00003	0	9.76E-04
263	2425.782	0.333	0.010	3.904	16.584	25.013	0.416	110.167	0.109	15.091	0.477	0.976	31.397	10.793	3.671	0.00088	0.00	0	0.00017	0.00008	0.0001	4.10E-05	0	0.000067	0.000038	0.000036	0.000034	0.000031	0.00003	0	9.68E-05
264	3051.022	0.438	0.018	16.685	52.308	5.894	15.895	110.980	0.326	14.573	0.445	2.179	47.408	13.444	5.769	0.00255	3.00	1	0.00209	0.00207	6.00E-05	0.000504	0.44	0.01592	0.000062	0.000055	0.000049	0.000045	0.000041	1.9996	1.18E-03
265	3625.554	0.730	0.027	10.802	13.887	11.499	9.516	146.491	0.222	23.295	0.476	2.769	85.945	11.653	8.498	0.00059	0.00	0	0.00084	0.00083	1.00E-05	1.30E-05	0	0.000026	0.000017	0.000015	0.000014	0.000014	0.000014	0	4.23E-04
266	8156.952	0.902	0.018	6.388	51.267	24.192	13.412	109.048	0.199	12.112	0.221	3.186	39.608	9.549	19.443	0.00264	4.48	7	0.00227	0.00214	0.000602	0.000859	2.68	0.025335	0.001484	0.000354	0.000077	0.000061	0.000055	5.74215	1.47E-03
267	1217.571	0.267	0.012	9.129	27.872	2.234	43.984	121.950	0.191	24.378	0.025	1.332	71.953	15.270	1.845	0.00004	0.00	0	0.00067	0.00063	4.30E-05	5.20E-05	0	0.000053	0.000048	0.000045	0.000043	0.000041	0.00004	0	3.48E-04
268	5814.017	0.621	0.030	16.876	17.899	2.587	30.181	48.267	0.120	25.918	0.391	3.294	63.033	13.973	8.380	0.00022	0.00	0	0.00174	0.00174	3.00E-06	1.20E-05	0	0.000012	0.000011	0.000011	0.000011	0.000011	0.000011	0	8.75E-04
269	2849.911	0.358	0.009	12.027	8.468	16.526	16.872	57.158	0.142	33.637	0.086	4.240	61.998	5.773	5.754	0.00015	0.00	0	0.00019	0.00018	1.80E-05	1.40E-05	0	0.000038	0.000027	0.000023	0.000023	0.000022	0.000021	0	9.90E-05
270	4063.302	0.648	0.020	3.268	53.583	21.516	12.371	153.213	0.261	20.439	0.244	3.174	33.852	9.593	7.070	0.00111	1.67	6	0.00129	0.00123	0.000443	0.000485	1.5	0.011111	0.000722	0.000068	0.000052	0.000047	0.000044	3.83315	8.62E-04
271	5965.529	0.714	0.025	13.540	24.040	14.286	13.822	108.522	0.444	13.977	0.180	4.239	47.337	5.325	13.722	0.00044	0.00	0	0.00101	0.00101	8.00E-06	9.00E-06	0	0.000021	0.000014	0.000013	0.000012	0.000012	0.000012	0	5.11E-04
272	5005.611	0.693	0.025	18.110	50.082	11.896	0.388	83.861	0.291	37.423	0.309	1.032	61.592	17.425	14.815	0.00049	0.00	0	0.00003	0.00003	8.00E-06	2.30E-05	0	0.000048	0.000026	0.000024	0.000022	0.000021	0.00002	0	2.28E-05
273	3347.797	0.408	0.019	18.675	43.460	10.778	30.222	176.199	0.214	21.902	0.113	3.779	71.319	12.437	6.407	0.00058	0.00	0	0.00191	0.00187	4.90E-05	3.90E-05	0	0.000053	0.000037	0.000034	0.000032	0.00003	0.000028	0	9.67E-04
274	3473.609	0.420	0.010	8.140	23.323	3.983	16.452	110.243	0.359	33.775	0.505	0.247	80.914	9.960	8.776	0.00002	0.00	0	0.00003	0.00003	7.00E-06	9.00E-06	0	0.00002	0.000011	0.00001	0.000009	0.000009	0.000009	0	2.08E-05
275	1743.189	0.207	0.007	19.568	20.491	9.013	0.703	46.940	0.428	13.058	0.458	0.920	32.603	15.463	4.540	0.00195	0.00	0	0.00029	0.00028	3.40E-05	5.00E-05	0.06	0.000672	0.000063	0.00006	0.000058	0.000056	0.000055	0	1.63E-04
276	3753.939	0.606	0.024	18.115	59.582	18.739	25.428	158.770	0.469	13.151	0.165	0.420	21.697	13.010	7.825	0.00072	0.00	0	0.00052	0.00046	8.10E-05	0.000101	0	0.000114	0.000091	0.000085	0.000078	0.000071	0.000065	0	2.90E-04
277	5760.512	0.762	0.028	18.155	20.146	18.851	13.879	80.213	0.266	20.756	0.335	0.796	68.764	15.583	16.878	0.00030	0.00	0	0.00072	0.00072	1.50E-05	1.20E-05	0	0.000031	0.00002	0.000019	0.000018	0.000017	0.000017	0	3.66E-04
278	4528.981	0.502	0.012	13.572	33.326	11.792	10.594	113.555	0.451	17.112	0.180	4.265	29.402	12.614	7.993	0.00428	5.73	3	0.00329	0.00324	0.000207	0.0014	1.52	0.031841	0.001027	0.000047	0.000039	0.000033	0.00003	4.36355	2.04E-03
279	4570.364	0.526	0.016	14.921	48.017	12.462	17.895	33.582	0.456	8.235	0.493	4.725	15.133	6.356	13.985	0.00490	4.16	2	0.00212	0.00207	8.00E-05	0.000673	1.37	0.021209	0.000638	0.000043	0.000037	0.000035	0.000033	3.07795	1.24E-03
280	4636.452	0.497	0.017	12.262	28.627	17.105	12.530	158.344	0.230	28.582	0.098	3.070	57.487	8.735	10.468	0.00041	0.00	0	0.00035	0.00035	6.00E-06	1.40E-05	0	0.000027	0.000018	0.000016	0.000015	0.000015	0.000015	0	1.79E-04
281	2197.274	0.395	0.017	5.538	53.054	29.481	11.001	219.227	0.371	38.381	0.368	2.563	82.386	8.256	4.502	0.00015	0.00	0	0.00022	0.00021	3.30E-05	2.60E-05	0	0.000026	0.000024	0.000023	0.000022	0.000022	0.000021	0	1.20E-04
282	6607.995	0.744	0.024	13.486	42.947	15.035	2.534	49.773	0.199	40.360	0.262	1.459	82.278	12.797	14.596	0.00027	0.00	0	0.00004	0.00004	6.00E-06	9.00E-06	0	0.00002	0.000013	0.000012	0.000011	0.000011	0.000011	0	2.23E-05
283	2120.027	0.241	0.005	8.967	36.807	12.390	2.062	113.154	0.299	8.866	0.343	3.063	17.166	6.259	6.975	0.00284	5.02	12	0.00167	0.00164	0.000527	0.001563	5.28	0.032038	0.005982	0.002757	0.001189	0.000429	0.000097	8.5082	1.35E-03
284	6387.567	0.765	0.027	6.012	14.431	10.284	12.243	43.270	0.466	17.004	0.510	3.360	45.913	8.527	13.917	0.00061	0.00	0	0.00140	0.00140	4.00E-06	6.00E-06	0	0.000011	0.000007	0.000006	0.000005	0.000005	0.000005	0	7.03E-04
285	5401.431	0.665	0.027	4.386	11.114	13.022	16.442	206.782	0.340	27.133	0.017	2.434	66.492	9.364	9.777	0.00023	0.00	0	0.00044	0.00044	3.00E-06	4.00E-06	0	0.000006	0.000005	0.000005	0.000005	0.000004	0.000004	0	2.22E-04
286	5213.300	0.657	0.022	11.474	53.098	29.971	39.324	182.468	0.359	17.898	0.376	4.113	36.434	14.045	8.465	0.00080	10.69	2	0.00368	0.00312	0.00085	0.002504	6.03	0.08363	0.007262	0.003158	0.001685	0.00092	0.00042	6.3431	2.54E-03
287	5258.375	0.587	0.029	9.362	44.443	27.744	16.600	187.220	0.440	28.110	0.447	2.412	45.009	6.810	15.541	0.00025	0.00	0	0.00026	0.00024	2.90E-05	2.40E-05	0	0.000033	0.000024	0.000022	0.00002	0.000019	0.000018	0	1.40E-04
288	6082.131	0.753	0.029	9.799	24.926	10.234	0.909	91.660	0.246	11.461	0.303	1.131	30.647	5.389	9.526	0.00040	0.00	0	0.00004	0.00004	8.00E-06	1.10E-05	0	0.00002	0.000013	0.000012	0.000011	0.000011	0.00001	0	2.43E-05
289	6482.353	0.669	0.014	7.154	46.646	3.091	28.981	232.534	0.336	7.892	0.372	0.745	22.843	9.760	10.827	0.00031	3.25	4	0.00106	0.00101	0.000165	0.000603	1.96	0.015862	0.001152	0.000052	0.000045	0.000042	0.000039	3.62465	7.07E-04
290	3510.137	0.572	0.025	3.267	25.772	28.367	1.685	211.901	0.276	19.457	0.287	2.722	37.439	12.646	7.378	0.00187	3.08	3	0.00164	0.00099	0.000653	0.000897	6.86	0.014351	0.004062	0.003149	0.002337	0.0017	0.001062	3.0398	1.05E-03
291	2998.837	0.373	0.015	7.340	45.010	21.994	13.984	205.219	0.357	7.688	0.011	1.046	25.021	6.838	6.357	0.00121	2.43	3	0.00090	0.00075	0.000297	0.000678	2.27	0.014999	0.001112	0.000164	0.000084	0.000074	0.000068	2.71545	6.56E-04
292	4263.909	0.689	0.023	5.408	11.300	21.525	2.853	199.626	0.285	22.784	0.262	3.060	46.611	15.782	12.928	0.00257	0.00	0	0.00053	0.00051	2.40E-05	1.40E-05	0	0.000016	0.000013	0.000012	0.000011	0.00001	0.00001	0	2.69E-04
